id,EAP,HPL,MWS
id00235,0.844,0.018,0.138
id25522,0.217,0.007,0.776
id04204,0.161,0.828,0.010
id22016,0.823,0.011,0.165
id06480,0.619,0.254,0.127
id08718,0.003,0.000,0.997
id05251,0.057,0.904,0.039
id03359,0.963,0.018,0.019
id16117,0.011,0.006,0.983
id17000,0.085,0.901,0.014
id01730,0.022,0.949,0.029
id00630,0.600,0.337,0.062
id18175,0.006,0.001,0.993
id00907,0.812,0.008,0.179
id18251,0.070,0.927,0.004
id25861,0.619,0.373,0.008
id00398,0.705,0.155,0.140
id27573,0.983,0.001,0.016
id10022,0.167,0.691,0.142
id15901,0.033,0.044,0.923
id00451,0.160,0.025,0.815
id23129,0.022,0.956,0.022
id26498,0.157,0.822,0.021
id14741,0.205,0.448,0.347
id18453,0.167,0.029,0.804
id08309,0.771,0.155,0.074
id00320,0.998,0.001,0.001
id07688,0.134,0.127,0.739
id01556,0.050,0.008,0.942
id00178,0.523,0.037,0.441
id18902,0.382,0.040,0.578
id27002,0.788,0.209,0.003
id21418,0.995,0.003,0.002
id23018,0.577,0.037,0.386
id07032,0.203,0.043,0.754
id16195,0.463,0.051,0.487
id11202,0.143,0.834,0.023
id09578,0.794,0.037,0.169
id26984,0.785,0.003,0.213
id19856,0.134,0.789,0.077
id12086,0.484,0.033,0.484
id12052,0.117,0.023,0.860
id17728,0.010,0.021,0.969
id24608,0.620,0.012,0.368
id21097,0.418,0.185,0.397
id20179,0.032,0.069,0.899
id15144,0.481,0.326,0.193
id00206,0.771,0.068,0.161
id22285,0.003,0.056,0.940
id06417,0.070,0.850,0.081
id00215,0.326,0.602,0.072
id04201,0.601,0.005,0.394
id21771,0.998,0.001,0.001
id12451,0.038,0.253,0.708
id14250,0.321,0.374,0.305
id03433,0.137,0.861,0.002
id03303,0.042,0.010,0.948
id25901,0.510,0.222,0.269
id06945,0.171,0.006,0.823
id05664,0.580,0.253,0.167
id05741,0.973,0.003,0.025
id10652,0.900,0.028,0.072
id16300,0.853,0.029,0.119
id12319,0.544,0.295,0.161
id07500,0.138,0.753,0.109
id12478,0.570,0.234,0.196
id03076,0.186,0.029,0.786
id00969,0.446,0.404,0.150
id23636,0.023,0.953,0.023
id09791,0.055,0.056,0.889
id05680,0.270,0.297,0.434
id03672,0.083,0.863,0.054
id04286,0.021,0.936,0.042
id23883,0.089,0.296,0.615
id11914,0.381,0.015,0.604
id20974,0.052,0.928,0.020
id26125,0.214,0.116,0.669
id15543,0.233,0.026,0.741
id19471,0.999,0.001,0.000
id11503,0.796,0.053,0.151
id09321,0.001,0.912,0.087
id25560,0.027,0.012,0.962
id06726,0.727,0.113,0.160
id05709,0.867,0.004,0.129
id09788,0.382,0.203,0.415
id05289,0.999,0.000,0.000
id11815,0.005,0.973,0.022
id22422,0.828,0.043,0.129
id25954,0.997,0.001,0.002
id13601,0.732,0.150,0.118
id05677,0.855,0.030,0.115
id10498,0.382,0.606,0.012
id02665,0.590,0.397,0.013
id10114,0.238,0.686,0.076
id26314,0.520,0.348,0.132
id21240,0.269,0.200,0.531
id15569,0.728,0.216,0.057
id25928,0.472,0.019,0.508
id22706,0.005,0.994,0.001
id20877,0.074,0.647,0.279
id04318,0.761,0.007,0.232
id18299,0.076,0.856,0.068
id08126,0.135,0.196,0.669
id14293,0.496,0.019,0.485
id12759,0.980,0.001,0.019
id11983,0.253,0.022,0.725
id05580,0.399,0.504,0.097
id25846,0.393,0.300,0.308
id01939,0.597,0.122,0.281
id26327,0.254,0.498,0.248
id11068,0.019,0.012,0.969
id08404,0.911,0.012,0.077
id27189,0.260,0.738,0.002
id15119,0.040,0.955,0.005
id26525,0.954,0.008,0.038
id03618,0.861,0.065,0.074
id27220,0.982,0.006,0.012
id18777,0.015,0.005,0.980
id20213,0.911,0.071,0.018
id20403,0.713,0.254,0.033
id03777,0.108,0.036,0.855
id10595,0.099,0.882,0.018
id13816,0.384,0.049,0.566
id05667,0.091,0.048,0.862
id24629,0.728,0.031,0.241
id20398,0.209,0.080,0.710
id14108,0.008,0.013,0.979
id06196,0.020,0.977,0.002
id02800,0.814,0.125,0.061
id18732,0.028,0.971,0.000
id11915,0.346,0.331,0.323
id09739,0.640,0.030,0.330
id24672,0.722,0.228,0.050
id00414,0.010,0.314,0.676
id16307,0.952,0.020,0.028
id14043,0.116,0.025,0.859
id00517,0.039,0.095,0.866
id09744,0.971,0.004,0.026
id19257,0.925,0.041,0.034
id15437,0.545,0.408,0.047
id16352,0.030,0.191,0.779
id18849,0.756,0.082,0.162
id19434,0.000,0.999,0.001
id17928,0.095,0.008,0.898
id16896,0.037,0.031,0.932
id02135,0.453,0.086,0.461
id15075,0.955,0.008,0.038
id27486,0.328,0.662,0.010
id19422,0.953,0.038,0.008
id09603,0.037,0.714,0.249
id02133,0.042,0.944,0.014
id03441,0.497,0.064,0.439
id02398,0.021,0.953,0.025
id05152,0.194,0.188,0.617
id17838,0.177,0.011,0.812
id25060,0.972,0.008,0.021
id09998,0.070,0.003,0.927
id01828,0.053,0.922,0.026
id25377,0.332,0.033,0.635
id22175,0.246,0.734,0.020
id02974,0.068,0.002,0.930
id26955,0.999,0.000,0.000
id21091,0.926,0.024,0.050
id12802,0.776,0.140,0.085
id07432,0.001,0.987,0.012
id18749,0.160,0.739,0.101
id15030,0.000,0.006,0.994
id17155,0.012,0.987,0.002
id08128,0.003,0.995,0.002
id25706,0.082,0.779,0.139
id15645,0.920,0.027,0.053
id04943,0.470,0.268,0.262
id27566,0.054,0.208,0.737
id11765,0.376,0.172,0.451
id13783,0.396,0.457,0.146
id00492,0.057,0.144,0.800
id27636,0.083,0.151,0.767
id04273,0.787,0.036,0.178
id02537,0.187,0.080,0.733
id24349,0.699,0.268,0.034
id00023,0.002,0.997,0.001
id23025,0.284,0.599,0.117
id08722,0.912,0.026,0.062
id02420,0.999,0.001,0.000
id10811,0.968,0.006,0.026
id04019,0.067,0.055,0.879
id18334,0.989,0.001,0.010
id16781,0.435,0.546,0.019
id08773,0.484,0.468,0.048
id19214,0.868,0.024,0.107
id09589,0.097,0.683,0.220
id24246,0.660,0.139,0.201
id23577,0.694,0.295,0.012
id09305,0.874,0.003,0.123
id16460,0.420,0.112,0.468
id21115,0.575,0.286,0.139
id25996,0.495,0.188,0.317
id02551,0.004,0.005,0.991
id19352,0.060,0.004,0.937
id03806,0.069,0.005,0.927
id26544,0.564,0.217,0.218
id18761,0.824,0.139,0.037
id24148,0.294,0.673,0.033
id16095,0.017,0.973,0.010
id18442,0.736,0.149,0.115
id22596,0.014,0.001,0.985
id23002,0.044,0.014,0.942
id04797,0.985,0.005,0.010
id06610,0.089,0.027,0.884
id16173,0.391,0.523,0.086
id18292,0.062,0.145,0.793
id27328,0.994,0.001,0.006
id01695,0.002,0.995,0.003
id05761,0.577,0.018,0.405
id16354,0.865,0.008,0.126
id12207,0.007,0.754,0.239
id05665,0.125,0.027,0.847
id01911,0.975,0.021,0.004
id19153,0.234,0.007,0.759
id10295,0.706,0.132,0.162
id23038,0.773,0.107,0.120
id23783,0.503,0.492,0.005
id27879,0.949,0.035,0.016
id19190,0.021,0.962,0.017
id05065,0.959,0.006,0.034
id21296,0.089,0.895,0.015
id13262,0.291,0.405,0.304
id10333,0.730,0.045,0.226
id16677,0.131,0.276,0.592
id01392,0.592,0.011,0.397
id27874,0.874,0.069,0.057
id02294,0.000,0.999,0.000
id18298,0.108,0.067,0.825
id06997,0.982,0.015,0.003
id05243,0.421,0.277,0.301
id00860,0.289,0.440,0.270
id26681,0.989,0.011,0.000
id06020,0.071,0.007,0.922
id27683,0.833,0.084,0.082
id17655,0.091,0.669,0.240
id08817,0.124,0.129,0.747
id11512,0.028,0.051,0.920
id00478,0.150,0.046,0.804
id02116,0.842,0.117,0.041
id06746,0.803,0.180,0.017
id03863,0.407,0.432,0.162
id01802,0.042,0.619,0.338
id11682,0.579,0.030,0.391
id04033,0.425,0.551,0.023
id09286,0.240,0.220,0.540
id12904,1.000,0.000,0.000
id07420,0.003,0.003,0.993
id22398,0.091,0.872,0.037
id00424,0.455,0.014,0.531
id20960,0.998,0.001,0.001
id10267,0.553,0.167,0.280
id19330,0.309,0.028,0.663
id00994,0.001,0.997,0.002
id10785,0.967,0.016,0.017
id00955,0.002,0.997,0.001
id09757,0.187,0.801,0.012
id10030,0.081,0.028,0.891
id22952,0.038,0.324,0.638
id21955,0.000,0.001,0.999
id07674,0.959,0.026,0.015
id13760,0.013,0.986,0.001
id18166,0.617,0.336,0.047
id23498,0.983,0.016,0.001
id05296,0.980,0.003,0.017
id26709,0.910,0.070,0.020
id02853,0.981,0.016,0.003
id06800,0.468,0.276,0.256
id14758,0.098,0.895,0.007
id12356,0.919,0.059,0.021
id21492,0.433,0.537,0.029
id27540,0.821,0.008,0.171
id07376,0.087,0.651,0.262
id15201,0.535,0.435,0.030
id23388,0.063,0.861,0.076
id13923,0.027,0.812,0.161
id00794,0.037,0.848,0.115
id23910,0.559,0.098,0.343
id02556,0.021,0.031,0.948
id22151,0.316,0.674,0.010
id11698,0.000,1.000,0.000
id11627,0.589,0.064,0.346
id06340,1.000,0.000,0.000
id05123,0.950,0.027,0.023
id26620,0.005,0.002,0.994
id04002,0.126,0.042,0.831
id26554,0.556,0.202,0.241
id18012,0.675,0.071,0.254
id12964,0.091,0.024,0.885
id18965,0.017,0.143,0.841
id19082,0.104,0.052,0.845
id26742,0.046,0.002,0.952
id15442,0.053,0.934,0.013
id16647,0.556,0.213,0.230
id11544,0.071,0.026,0.903
id20581,0.242,0.062,0.696
id13192,0.118,0.850,0.032
id15814,0.361,0.099,0.540
id26279,0.185,0.740,0.075
id00240,0.991,0.003,0.006
id22836,0.991,0.003,0.006
id15085,0.026,0.903,0.071
id17495,0.433,0.044,0.523
id26762,0.430,0.219,0.351
id13685,0.995,0.000,0.005
id16560,0.013,0.983,0.004
id17184,0.031,0.938,0.032
id21635,0.991,0.002,0.007
id26751,0.173,0.770,0.058
id12351,0.893,0.027,0.080
id14872,0.523,0.402,0.075
id18372,0.991,0.004,0.006
id26851,0.827,0.080,0.093
id22659,0.313,0.683,0.004
id04102,0.069,0.008,0.923
id02353,0.363,0.505,0.132
id26721,0.998,0.001,0.001
id11171,0.773,0.005,0.222
id13562,0.284,0.674,0.041
id26425,0.925,0.016,0.059
id26394,0.604,0.040,0.356
id22187,0.492,0.493,0.015
id00422,0.995,0.005,0.000
id22667,0.147,0.843,0.010
id00911,0.746,0.044,0.210
id17291,0.248,0.051,0.701
id01915,0.145,0.332,0.523
id01434,0.037,0.017,0.945
id01584,0.793,0.010,0.196
id09266,0.991,0.004,0.005
id17494,0.008,0.971,0.021
id24919,0.290,0.099,0.610
id21043,0.071,0.098,0.831
id17796,0.099,0.895,0.006
id02166,0.742,0.017,0.241
id17503,0.706,0.003,0.292
id21203,0.204,0.091,0.705
id25626,0.998,0.002,0.000
id09836,0.980,0.003,0.018
id24202,0.020,0.028,0.952
id27260,0.354,0.001,0.645
id23167,0.047,0.001,0.952
id10393,0.015,0.920,0.065
id01171,0.950,0.049,0.001
id06380,0.847,0.035,0.118
id22686,0.159,0.012,0.828
id26250,0.163,0.025,0.811
id09315,0.355,0.494,0.152
id00886,0.077,0.915,0.008
id03101,0.820,0.010,0.170
id12367,0.537,0.110,0.353
id10770,0.981,0.006,0.013
id14949,0.005,0.995,0.000
id14141,0.539,0.441,0.020
id25417,0.549,0.333,0.118
id26873,0.842,0.052,0.106
id10818,0.384,0.038,0.578
id15146,0.699,0.021,0.280
id23328,0.852,0.058,0.089
id16765,0.462,0.263,0.275
id24383,0.971,0.002,0.026
id21304,0.813,0.160,0.027
id12551,0.066,0.848,0.086
id23274,0.018,0.040,0.943
id08117,0.743,0.040,0.217
id23961,0.941,0.005,0.054
id13865,0.003,0.989,0.008
id22807,0.448,0.048,0.504
id08951,0.036,0.016,0.949
id18684,0.991,0.005,0.004
id25179,0.501,0.453,0.046
id27033,0.300,0.022,0.678
id13977,0.030,0.912,0.058
id19337,0.024,0.885,0.091
id25764,0.096,0.882,0.022
id16106,0.450,0.065,0.485
id05468,0.035,0.006,0.960
id05241,0.877,0.072,0.052
id10215,0.528,0.383,0.090
id23457,0.035,0.006,0.958
id02200,0.852,0.082,0.067
id13714,0.007,0.988,0.004
id20332,0.008,0.002,0.990
id18573,0.157,0.115,0.728
id08569,0.984,0.006,0.009
id22767,0.801,0.156,0.043
id25390,0.006,0.668,0.326
id09288,0.882,0.003,0.115
id12381,0.999,0.001,0.000
id02895,0.090,0.014,0.896
id25270,0.025,0.007,0.969
id14248,0.455,0.020,0.524
id12831,0.792,0.003,0.205
id18305,0.364,0.050,0.585
id07805,0.975,0.012,0.013
id14027,0.066,0.028,0.906
id02760,0.879,0.031,0.090
id24362,0.971,0.010,0.019
id17065,0.224,0.773,0.003
id26583,0.010,0.927,0.063
id19664,0.866,0.134,0.001
id25145,0.780,0.183,0.037
id17858,0.119,0.859,0.022
id05148,0.083,0.133,0.783
id22928,0.917,0.042,0.041
id21549,0.335,0.004,0.661
id12649,0.117,0.863,0.021
id21597,0.913,0.026,0.061
id27945,0.954,0.010,0.037
id00243,0.989,0.000,0.011
id02745,0.603,0.029,0.368
id23550,0.007,0.003,0.990
id13023,0.156,0.001,0.843
id24796,0.233,0.011,0.756
id12284,0.064,0.899,0.037
id02664,0.001,0.990,0.009
id23767,0.965,0.019,0.016
id05859,0.022,0.782,0.196
id14350,0.273,0.205,0.521
id01191,0.602,0.359,0.039
id17034,0.513,0.022,0.465
id25292,0.795,0.202,0.003
id22121,0.942,0.037,0.021
id20872,1.000,0.000,0.000
id17720,0.018,0.952,0.030
id22658,0.121,0.865,0.015
id09567,0.795,0.131,0.074
id16445,0.989,0.005,0.006
id08349,0.112,0.411,0.477
id27437,0.124,0.208,0.667
id03812,0.996,0.002,0.002
id22304,0.662,0.111,0.227
id04449,0.406,0.564,0.030
id15605,0.631,0.097,0.271
id01768,0.782,0.010,0.209
id20019,0.059,0.759,0.182
id09593,0.030,0.862,0.108
id23179,0.727,0.024,0.250
id21279,0.850,0.067,0.083
id06711,0.237,0.001,0.762
id14243,0.012,0.903,0.085
id04839,0.047,0.072,0.881
id17220,0.054,0.852,0.094
id24177,0.851,0.081,0.068
id20512,0.498,0.083,0.419
id14036,0.039,0.953,0.008
id25001,0.055,0.109,0.836
id06175,0.110,0.888,0.002
id24720,0.394,0.553,0.053
id08070,0.925,0.059,0.015
id18934,0.997,0.002,0.001
id01338,0.988,0.000,0.012
id19008,0.003,0.994,0.003
id19632,0.099,0.651,0.250
id26224,0.081,0.020,0.899
id08219,0.885,0.022,0.093
id24008,0.020,0.003,0.977
id12475,0.609,0.275,0.115
id05766,0.343,0.076,0.581
id27386,0.000,1.000,0.000
id12476,0.052,0.847,0.101
id08311,0.945,0.050,0.005
id04996,0.180,0.813,0.007
id17350,0.841,0.123,0.036
id05546,0.083,0.906,0.011
id16504,0.273,0.694,0.032
id05782,0.000,0.000,1.000
id20560,0.833,0.150,0.017
id14171,0.108,0.125,0.767
id27461,0.641,0.022,0.337
id03581,0.074,0.061,0.865
id21847,0.004,0.001,0.995
id11712,0.700,0.246,0.054
id26738,0.060,0.012,0.928
id13668,0.985,0.013,0.003
id15114,0.954,0.016,0.030
id20130,0.383,0.112,0.505
id18331,0.592,0.087,0.320
id24465,1.000,0.000,0.000
id13539,0.779,0.197,0.024
id27564,0.046,0.816,0.138
id26043,0.275,0.003,0.722
id04965,0.001,0.001,0.998
id08645,0.092,0.062,0.846
id26610,0.404,0.057,0.539
id21737,0.460,0.496,0.045
id25784,0.000,0.868,0.132
id23030,0.748,0.188,0.064
id16450,0.055,0.740,0.205
id02161,0.230,0.015,0.756
id25535,0.989,0.001,0.010
id16566,0.798,0.118,0.084
id05714,0.826,0.171,0.003
id16524,0.447,0.523,0.030
id23941,0.008,0.992,0.000
id00831,0.016,0.375,0.608
id18145,0.587,0.041,0.372
id17227,1.000,0.000,0.000
id09417,0.719,0.104,0.178
id21307,0.800,0.041,0.159
id05650,0.001,0.951,0.048
id23901,0.815,0.085,0.099
id05831,0.988,0.000,0.012
id16708,0.156,0.833,0.011
id02281,0.104,0.160,0.736
id11599,0.557,0.196,0.248
id18353,0.065,0.825,0.110
id07413,0.799,0.100,0.101
id15653,0.064,0.867,0.070
id09715,0.017,0.002,0.982
id05108,0.323,0.674,0.003
id09537,0.462,0.120,0.418
id27596,0.948,0.043,0.010
id24255,0.110,0.030,0.861
id05080,0.035,0.089,0.876
id09484,0.823,0.003,0.174
id14864,0.017,0.002,0.981
id26836,0.713,0.120,0.167
id07003,0.430,0.154,0.416
id13750,0.002,0.997,0.001
id21799,0.174,0.252,0.574
id11285,1.000,0.000,0.000
id04735,0.961,0.012,0.027
id23049,0.003,0.002,0.995
id05826,0.398,0.565,0.037
id17916,0.106,0.603,0.291
id14081,0.652,0.024,0.324
id10527,0.330,0.001,0.669
id16059,0.024,0.950,0.026
id25542,0.984,0.006,0.011
id05402,0.001,0.001,0.998
id01927,0.880,0.015,0.105
id27656,0.480,0.052,0.468
id06708,0.201,0.284,0.515
id03524,0.767,0.184,0.049
id12297,0.708,0.004,0.288
id03439,0.999,0.001,0.001
id04587,0.033,0.915,0.052
id25470,0.013,0.986,0.001
id01212,0.275,0.647,0.078
id13932,0.774,0.180,0.045
id00124,0.135,0.004,0.861
id01592,0.833,0.060,0.106
id13461,0.549,0.380,0.071
id24681,0.015,0.536,0.449
id23245,0.285,0.007,0.708
id14073,0.195,0.046,0.760
id05172,0.997,0.000,0.002
id21979,0.957,0.025,0.018
id00328,0.855,0.008,0.137
id26102,0.845,0.101,0.054
id14867,0.230,0.155,0.615
id27544,0.359,0.618,0.023
id16228,0.876,0.009,0.116
id16342,0.502,0.464,0.034
id24933,0.984,0.009,0.006
id04601,0.642,0.135,0.223
id01599,0.012,0.911,0.077
id06238,0.945,0.041,0.014
id06826,0.318,0.319,0.363
id23307,0.724,0.259,0.017
id13575,0.968,0.012,0.020
id24174,0.272,0.091,0.638
id19534,0.059,0.081,0.860
id19602,0.093,0.000,0.907
id26962,0.006,0.857,0.137
id04448,0.051,0.911,0.038
id09786,0.475,0.425,0.100
id25240,0.303,0.639,0.058
id14893,0.873,0.113,0.014
id24221,0.929,0.041,0.030
id04696,0.592,0.020,0.388
id15153,0.061,0.219,0.720
id13882,0.000,0.999,0.001
id17836,0.312,0.470,0.218
id00574,0.172,0.754,0.073
id02078,0.002,0.608,0.390
id21206,0.071,0.904,0.025
id20084,0.976,0.000,0.023
id26598,0.031,0.032,0.937
id06838,0.041,0.067,0.892
id08786,0.434,0.117,0.449
id09550,0.032,0.005,0.963
id10206,0.982,0.004,0.014
id21113,0.419,0.247,0.334
id21151,0.334,0.660,0.006
id02692,0.992,0.004,0.004
id26446,0.864,0.025,0.111
id07377,0.063,0.936,0.001
id15998,0.708,0.238,0.054
id19637,0.639,0.016,0.345
id19735,0.206,0.605,0.189
id13739,0.121,0.004,0.876
id25175,0.529,0.310,0.161
id00563,0.194,0.234,0.572
id09982,0.856,0.010,0.134
id15459,0.011,0.989,0.000
id20785,0.019,0.002,0.979
id07145,0.017,0.214,0.769
id22204,0.015,0.926,0.059
id09285,0.752,0.015,0.232
id18157,0.037,0.036,0.928
id12134,0.124,0.090,0.786
id23914,0.914,0.046,0.041
id10483,1.000,0.000,0.000
id07092,0.962,0.006,0.032
id14786,0.346,0.433,0.221
id25741,0.914,0.009,0.077
id09050,0.058,0.940,0.002
id04938,0.882,0.025,0.093
id05901,0.368,0.064,0.567
id16975,0.004,0.992,0.005
id08547,0.011,0.001,0.989
id16355,0.852,0.006,0.142
id14568,0.712,0.055,0.234
id25599,0.165,0.601,0.234
id01670,0.298,0.700,0.002
id23945,0.415,0.583,0.002
id17394,0.080,0.006,0.914
id06501,0.266,0.672,0.062
id26234,0.327,0.596,0.077
id21280,0.270,0.011,0.720
id20048,0.063,0.097,0.840
id01216,0.633,0.220,0.147
id25320,0.989,0.000,0.011
id22833,0.485,0.121,0.393
id22056,0.505,0.373,0.122
id02275,0.150,0.828,0.022
id26127,0.217,0.014,0.769
id17011,0.129,0.840,0.031
id13847,0.897,0.046,0.058
id00013,0.013,0.958,0.029
id16463,0.924,0.027,0.049
id04845,0.073,0.781,0.146
id01787,0.014,0.113,0.874
id08637,0.912,0.042,0.045
id11414,0.049,0.007,0.945
id13177,0.264,0.328,0.408
id24517,0.647,0.087,0.266
id26838,0.902,0.048,0.050
id23081,0.001,0.999,0.000
id16327,0.134,0.671,0.195
id27282,0.025,0.961,0.014
id07489,0.563,0.109,0.327
id01718,0.004,0.002,0.993
id15441,0.786,0.075,0.140
id27736,0.122,0.585,0.293
id16324,0.161,0.154,0.685
id12027,0.473,0.104,0.423
id24653,0.035,0.955,0.011
id17541,0.059,0.014,0.927
id22406,0.110,0.728,0.162
id18356,0.738,0.048,0.214
id04505,0.342,0.146,0.513
id04246,0.275,0.323,0.402
id07368,0.673,0.163,0.164
id26185,0.068,0.008,0.923
id08878,0.237,0.191,0.571
id27691,0.016,0.005,0.979
id18004,0.577,0.202,0.221
id24426,0.835,0.015,0.149
